,SOI,nino
1950-01-01,0.5292829916030121,-2.0
1950-02-01,1.5528896179770881,-1.68
1950-03-01,1.7578968385421103,-1.37
1950-04-01,1.6191325202511997,-1.43
1950-05-01,0.8712445829349255,-1.63
1950-06-01,2.811629257459934,-1.13
1950-07-01,2.1906716286130847,-0.89
1950-08-01,1.264818488148623,-0.95
1950-09-01,0.6285835684885123,-0.99
1950-10-01,1.6609125840611871,-0.98
1950-11-01,1.1400304057728947,-1.16
1950-12-01,2.230102316177228,-1.27
1951-01-01,1.6562733919749275,-1.31
1951-02-01,0.8369118398319375,-1.03
1951-03-01,-0.0857877737985624,-0.33
1951-04-01,0.0021000421793003717,-0.13
1951-05-01,-0.5361505125745321,0.11
1951-06-01,0.604827223988618,0.14
1951-07-01,-0.7914440283152496,0.42
1951-08-01,-0.012775944324794451,0.19
1951-09-01,-0.7408610123867008,0.5
1951-10-01,-0.7761115040039729,0.53
1951-11-01,-0.4057735342580509,0.63
1951-12-01,-0.3827842177095945,0.35
1952-01-01,-0.879455008861829,0.12
1952-02-01,-0.7213927361310145,0.0
1952-03-01,0.07224233583061418,-0.06
1952-04-01,-0.6594132443046621,0.09
1952-05-01,0.7148673501005907,-0.02
1952-06-01,0.850027449929927,-0.41
1952-07-01,0.40140223445608425,-0.65
1952-08-01,-0.33217455244305805,-0.54
1952-09-01,-0.3836145999845184,-0.37
1952-10-01,0.1749222864604881,-0.41
1952-11-01,-0.14813954425290551,-0.71
1952-12-01,-1.3562125342556497,-0.35
1953-01-01,0.24753539151003315,0.19
1953-02-01,-0.5529273765674159,0.25
1953-03-01,-0.5072013994764664,0.34
1953-04-01,0.07560151845531478,0.33
1953-05-01,-3.0381862379247773,0.47
1953-06-01,-0.1307734538351232,0.53
1953-07-01,-0.06248242328828989,0.25
1953-08-01,-1.673648706540085,0.11
1953-09-01,-1.3362716997238295,0.28
1953-10-01,-0.0033965492515687697,0.2
1953-11-01,-0.2769565392554416,0.25
1953-12-01,-0.4852503562934143,0.44
1954-01-01,0.6231988583006894,0.43
1954-02-01,-0.34234567711296554,0.29
1954-03-01,-0.033111070588876794,-0.33
1954-04-01,0.7371148049391937,-1.06
1954-05-01,0.5584901172660781,-0.69
1954-06-01,-0.049040045188020215,-0.79
1954-07-01,0.4676714712767306,-1.07
1954-08-01,1.0731793232776503,-1.41
1954-09-01,0.3904192935537015,-1.61
1954-10-01,0.17492228646042052,-1.44
1954-11-01,0.30271993825615384,-1.06
1954-12-01,1.2054409303392628,-1.3
1955-01-01,-0.5037915420711727,-0.94
1955-02-01,1.3423079185225897,-0.94
1955-03-01,0.3356258518792817,-1.01
1955-04-01,-0.14490291037272846,-1.11
1955-05-01,1.4185648978553194,-1.15
1955-06-01,1.749094945047874,-1.04
1955-07-01,1.9918639181512208,-1.03
1955-08-01,1.5203373746432771,-1.33
1955-09-01,1.3430763932930123,-1.44
1955-10-01,1.4825937483491305,-2.26
1955-11-01,1.39766439577804,-2.37
1955-12-01,0.8468094452959518,-1.99
1956-01-01,1.1397361251378086,-1.21
1956-02-01,1.0896098791772395,-0.98
1956-03-01,0.9677462903961078,-0.78
1956-04-01,1.1046221863192658,-0.86
1956-05-01,1.8876965963584125,-0.68
1956-06-01,1.340427901812452,-0.78
1956-07-01,1.329171549944908,-0.95
1956-08-01,1.1370590449012594,-1.15
1956-09-01,-0.026368187582268277,-0.99
1956-10-01,1.7797918078692023,-0.93
1956-11-01,0.10949444575223988,-1.07
1956-12-01,0.9492755838797716,-0.85
1957-01-01,0.5762409249518508,-0.51
1957-02-01,-0.21599665744031446,-0.21
1957-03-01,-0.033111070588816904,0.22
1957-04-01,0.22260447100726,0.52
1957-05-01,-1.0834708274949258,0.74
1957-06-01,-0.1307734538351232,0.77
1957-07-01,0.13632528717357398,0.99
1957-08-01,-0.9070920470560486,0.86
1957-09-01,-1.0981074247889508,0.71
1957-10-01,-0.12227577305965172,0.74
1957-11-01,-1.2430840017747915,0.99
1957-12-01,-0.4340172870015044,1.34
1958-01-01,-1.6307819424430885,1.78
1958-02-01,-0.6371600563492152,1.5
1958-03-01,-0.08578777379862228,1.03
1958-04-01,0.22260447100726,0.57
